Parent Type,Parent ID,SubSite ID,SubSite Name,SubSite Name(Arabic),SubSite Description,SubSite Location(Descriptive),SubSite Location(Coordinates - Dec),SubSite Location(Coordinates - Deg),SubSite Location(Google Link),Main Process / Equipment
Site,PS5,MA_PS5_AL-Kaakyiah-Booster_Future-Site-9,AL Kaakyiah Booster,,,,,"21°21'56.6""N 39°48'00.8""E",,
Site,PS5,MA_PS5_AL-Magaribah-Booster_Future-Site-10,AL Magaribah Booster,,,,,"21°26'04.1""N 39°49'12.0""E",,
Site,PS5,MA_PS5_AL-Malawi-Booster-New_Future-Site-11,AL Malawi Booster New,,,,,"21°26'18.3""N 39°50'14.9""E",,
Site,PS5,MA_PS5_AL-Malawi-Booster-old_Future-Site-12,AL Malawi Booster old,,,,,"21°26'17.8""N 39°50'13.2""E",,
Site,PS5,MA_PS5_AL-Nuzah-Booster_Future-Site-13,AL Nuzah Booster,,,,,"21°25'55.5""N 39°47'35.2""E",,
Site,PS5,MA_PS5_AL-Qosor-Booster_Future-Site-14,AL Qosor Booster,,,,,"21°26'22.7""N 39°50'41.1""E",,
Site,PS5,MA_PS5_AL-Shouhada-Booster_Future-Site-15,AL Shouhada Booster ,,,,,"21°27'12.1""N 39°48'23.6""E",,
Site,PS5,MA_PS5_Al-Suleymania-Pump_Future-Site-16,Al Suleymania Pump,,,,,"21°25'54.3""N 39°49'37.5""E",,
Site,PS5,MA_PS5_AL-Diwan-booster_Future-Site-17,AL-Diwan booster,,,,,"21°24'15.8""N 39°52'30.2""E",,
Site,PS5,MA_PS5_AL-sharea-booster_Future-Site-18,AL-sharea booster,,,,,"21°28'41.2""N 39°55'57.2""E",,
Site,PS5,MA_PS5_Arana-STP_Future-Site-19,ARANA STP ,,,,"21.255912, 39.712035",,https://goo.gl/maps/ZDt7NrjpKMonBZug7,
Site,PS5,MA_PS5_Bazan-atafrane-pump_Future-Site-20,Bazan atafrane pump,,,,"21.420683, 39.830395",,https://goo.gl/maps/c52cuX3Us8BuR5em7,
Site,PS5,MA_PS5_Birbalilah-Booster_Future-Site-21,Birbalilah Booster,,,,,"21°24'49.9""N 39°49'41.1""E",,
Site,PS5,MA_PS5_Dahlat-Quresh_Future-Site-22,Dahlat Quresh,,,,,"21°24'56.1""N 39°50'08.7""E",,
Site,PS5,MA_PS5_Future-Site-23,Future Site,????? ??????? – ?????? ????? ???????,,,,"21°23'01.9""N 39°52'46.3""E",,
Site,PS5,MA_PS5_Future-Site-24,Future Site,????? ????,,,,"21°25'14.3""N 39°49'46.6""E",,
Site,PS5,MA_PS5_Future-Site-25,Future Site,????? ??????? – ???? ?????,,,,"21°25'05.3""N 39°49'39.2""E",,
Site,PS5,MA_PS5_Future-Site-26,Future Site,?????????,,,,"21°31'26.8""N 39°47'33.5""E",,
Site,PS5,MA_PS5_Future-Site-27,Future Site,????????,,,,"21°25'11.41""N  39°49'30.84""E",,
Site,PS5,MA_PS5_Future-Site-28,Future Site,?????? ???????,,,"21.4482398,39.8225766",,,
Site,PS5,MA_PS5_Future-Site-29,Future Site,??????,,,"21.4412134,39.7932952",,,
Site,PS5,MA_PS5_Future-Site-30,Future Site,?????? ??????,,,"21.447793,39.8153165",,,
Site,PS5,MA_PS5_Future-Site-31,Future Site,?????????? – ??? ????? ???,,,,"21°25'53.2""N 39°49'41.2""E",,
Site,PS5,MA_PS5_Future-Site-32,Future Site,???????,,,,"21°26'32.5""N 39°58'17.6""E",,
Site,PS5,MA_PS5_Future-Site-33,Future Site,???????,,,,"21°22'47.5""N 39°47'23.1""E",,
Site,PS5,MA_PS5_Future-Site-34,Future Site,??????,,,"21.4386583,39.7895136",,,
Site,PS5,MA_PS5_Future-Site-35,Future Site,????? ,,,,"21°26'22.7""N 39°51'01.7""E",,
Site,PS5,MA_PS5_Future-Site-36,Future Site,???????? ?? ???? – ???? ???????? ?????,,,,"21°23'55.9""N 39°53'00.9""E",,
Site,PS5,MA_PS5_Future-Site-37,Future Site,??????? –??????? ??????,,,,"21°20'26.0""N 39°48'21.4""E",,
Site,PS5,MA_PS5_Future-Site-38,Future Site,??????? –??????? ??????,,,,"21°20'33.4""N 39°48'18.4""E",,
Site,PS5,MA_PS5_Future-Site-39,Future Site,?????? ???????,,,,"21°26'16.0""N 39°47'14.7""E",,
Site,PS5,MA_PS5_Future-Site-40,Future Site,????????,,,,"21°25'30.0""N 39°49'41.8""E",,
Site,PS5,MA_PS5_Future-Site-41,Future Site,???????,,,"21.3890457,39.8255073",,,
Site,PS5,MA_PS5_Future-Site-42,Future Site,??????? – ??????? ??????,,,,"21°24'05.7""N 39°48'55.4""E",,
Site,PS5,MA_PS5_Future-Site-43,Future Site,??????? –???? ??????,,,,"21°24'42.9""N 39°49'22.6""E",,
Site,PS5,MA_PS5_Future-Site-44,Future Site,???????  -??????? ??????,,,,"21°24'50.2""N 39°49'19.5""E",,
Site,PS5,MA_PS5_Future-Site-45,Future Site,????????,,,,"21°26'25.89""N, 39°50'23.24""E",,
Site,PS5,MA_PS5_Future-Site-46,Future Site,??????? ,,,,"21°26'17.73""N, 39°50'19.76""E",,
Site,PS5,MA_PS5_Future-Site-47,Future Site,????? ???? - ???? ???????,,,,"21°23'44.1""N 39°52'20.9""E",,
Site,PS5,MA_PS5_Future-Site-48,Future Site,??????? ?????? ?????? – ????  ???????,,,,"21°25'10.6""N 39°48'24.8""E",,
Site,PS5,MA_PS5_Future-Site-49,Future Site,??????? ???? ????? – ???? ???????,,,,"21°25'27.8""N 39°48'24.7""E",,
Site,PS5,MA_PS5_Future-Site-50,Future Site,??????,,,,"21°26'27.5""N 39°47'53.4""E",,
Site,PS5,MA_PS5_Future-Site-51,Future Site,??????- ???? 60,,,,"21°26'19.03""N 39°47'23.25""E",,
Site,PS5,MA_PS5_Future-Site-52,Future Site,?? ????? ,,,,"21°24'16.9""N 39°51'57.4""E",,
Site,PS5,MA_PS5_Future-Site-53,Future Site,???? ??????-???? ??????,,,,"21°26'24.3""N 39°47'57.2""E",,
Site,PS5,MA_PS5_Future-Site-54,Future Site,???? ??????? -???? ??????,,,,"21°26'24.6""N 39°48'02.7""E",,
Site,PS5,MA_PS5_Future-Site-55,Future Site,??? ???????,,,"21.4102634,39.8150566",,,
Site,PS5,MA_PS5_Future-Site-56,Future Site,?? ??????,,,"21.3861939,39.801765",,,
Site,PS5,MA_PS5_Future-Site-57,Future Site,?? ????????,,,,"21°26'43.8""N 39°46'57.9""E",,
Site,PS5,MA_PS5_Future-Site-58,Future Site,?? ??????,,,"21.3848975,39.8630986",,,
Site,PS5,MA_PS5_Future-Site-59,Future Site,?? ???????,,,,"21°26'25.2""N 39°47'04.9""E",,
Site,PS5,MA_PS5_Future-Site-60,Future Site,??? ???????,,,,"21°26'27.0""N 39°46'34.6""E",,
Site,PS5,MA_PS5_Future-Site-61,Future Site,??? ?????? – ???? ???????? ?????,,,,"21°24'23.4""N 39°52'14.8""E",,
Site,PS5,MA_PS5_Future-Site-62,Future Site,???? ????,,,,"21°26'53.6""N 39°48'32.8""E",,
Site,PS5,MA_PS5_Future-Site-63,Future Site,???? ??????,,,,"21°26'06.2""N 39°47'23.8""E",,
Site,PS5,MA_PS5_Future-Site-64,Future Site,???? ???? -???????? ???????? – ??? ????,,,,"21°24'45.8""N 39°52'01.1""E",,
Site,PS5,MA_PS5_Future-Site-65,Future Site,???? ????,,,"21.4171481,39.8101456",,,
Site,PS5,MA_PS5_Future-Site-66,Future Site,???? ????????-????? ???? ????? ,,,,"21°23'05.7""N 39°52'37.3""E",,
Site,PS5,MA_PS5_Future-Site-67,Future Site,??? ???????,,,,"21°26'27.4""N 39°48'22.7""E",,
Site,PS5,MA_PS5_Future-Site-68,Future Site,???,,,,"21°24'03.3""N 39°49'11.1""E",,
Site,PS5,MA_PS5_Future-Site-69,Future Site,???? 3,,,,"21°27'52.2""N 39°49'11.5""E",,
Site,PS5,MA_PS5_Future-Site-70,Future Site,???? 5,,,,"21°30'04.5""N 39°47'29.0""E",,
Site,PS5,MA_PS5_Future-Site-71,Future Site,???? ????? - ???? ????? ???????,,,,"21°23'12.8""N 39°52'44.3""E",,
Site,PS5,MA_PS5_Future-Site-72,Future Site,???? ?????  - ???? ???????,,,,"21°23'10.2""N 39°52'36.0""E",,
Site,PS5,MA_PS5_Future-Site-73,Future Site,???? ???? ?????,,,,"21°25'10.7""N 39°51'31.2""E",,
Site,PS5,MA_PS5_Future-Site-74,Future Site,???? ????????,,,,"21°24'58.1""N 39°52'04.4""E",,
Site,PS5,MA_PS5_Future-Site-75,Future Site,???? ??? ????????,,,,"21°23'06.6""N 39°52'26.5""E",,
Site,PS5,MA_PS5_Future-Site-76,Future Site,???? ?????????,,,,"21°24'22.3""N 39°49'16.7""E",,
Site,PS5,MA_PS5_Future-Site-77,Future Site,???? ?????????,,,,"21°25'11.9""N 39°48'43.2""E",,
Site,PS5,MA_PS5_Future-Site-78,Future Site,???? ???????,,,,"21°25'56.3""N 39°48'21.2""E",,
Site,PS5,MA_PS5_Future-Site-79,Future Site,???? ??????????,,,,"21°24'28.7""N 39°49'21.0""E",,
Site,PS5,MA_PS5_Future-Site-80,Future Site,???? ?????????,,,"21.417858, 39.806543",,https://goo.gl/maps/5q99KHRXyATrwY4aA,
Site,PS5,MA_PS5_Future-Site-81,Future Site,???? ???????,,,"21.397890, 39.811372",,https://goo.gl/maps/KvSFav5ufVgnksUh7,
Site,PS5,MA_PS5_Future-Site-82,Future Site,???? ????????? 2,,,,"21°25'41.1""N 39°48'23.7""E",,
Site,PS5,MA_PS5_Future-Site-83,Future Site,???? ???,,,,"21°24'05.6""N 39°49'12.7""E",,
Site,PS5,MA_PS5_Future-Site-84,Future Site,???? ????? ?????,,,,"21°25'25.9""N 39°48'23.8""E",,
Site,PS5,MA_PS5_Future-Site-85,Future Site,???? ?????– ???? ?????,,,"21.448295, 39.815738",,https://goo.gl/maps/1LWG92GTrKM2hsNt8,
Site,PS5,MA_PS5_Future-Site-86,Future Site,????? ????????,,,,"21°26'47.6""N 39°48'33.3""E",,
Site,PS5,MA_PS5_Future-Site-87,Future Site,?????,,,,"21°24'48.7""N 39°48'21.4""E",,
Site,PS5,MA_PS5_Hada_STP_Future-Site-88,Hada STP ,,,,,"21°26'42.6""N 39°34'51.4""E",,
Site,PS5,MA_PS5_Jabal_Dafan_Pump_Future-Site-89,Jabal Dafan Pump,,,,,"21°26'00.6""N 39°49'29.6""E",,
Site,PS5,MA_PS5_Jabal_Djouhaicha_pump_Future-Site-90,Jabal Djouhaicha pump,,,,,"21°43'22.4""N 39°50'25.2""E",,
Site,PS5,MA_PS5_Jabal_Kabah_Booster_Future-Site-91,Jabal Kabah Booster,,,,"21.426189, 39.819486",,https://goo.gl/maps/hdB3fhk8v6xdWeuy8,
Site,PS5,MA_PS5_jabal_shodan_pump_Future-Site-92,jabal shodan pump,,,,,"21°26'00.5""N 39°50'06.1""E",,
Site,PS5,MA_PS5_Kawashek_Tank_Booster_Future-Site-93,Kawashek Tank Booster,,,,,"21°24'41.7""N 39°48'56.4""E",,
Site,PS5,MA_PS5_l_Adl_Booster_Future-Site-94,l Adl Booster,,,,"21.437398, 39.856765",,https://goo.gl/maps/9ucgg8LfWzCu2nGq8,
Site,PS5,MA_PS5_Qouresh_Booster_Future-Site-95,Qouresh Booster,,,,,"21°25'14.7""N 39°49'56.7""E",,
Site,PS5,MA_PS5_Rea_Bakhch_Pump_Future-Site-96,Rea Bakhch Pump,,,,,"21°24'34.4""N 39°49'55.8""E",,
Site,PS5,MA_PS5_Ri_Al_Kohol_pump_Future-Site-97,Ri Al Kohol pump,,,,,"21°26'25.1""N 39°48'36.1""E",,
Site,PS5,MA_PS5_Salko_Booster_Future-Site-98,Salko Booster,,,,,"21°23'04.7""N 39°52'41.3""E",,
Site,PS5,MA_PS5_Sharika_Makkah_Future-Site-99,Sharika Makkah ,,,,,"21°25'18.4""N 39°51'20.9""E",,
Site,PS5,MA_PS5_Wadi_jalil_Booster_Future-Site-100,Wadi jalil Booster,,,,,"21°27'09.7""N 39°50'51.1""E",,
Site,PS5,MA_PS5_JUNAVCHMB,Jucntion A (Valve Chamber),,,,"21.383861, 39.875528",,,
Site,PS5,MA_PS5_JUNBVCHMB,Jucntion B (Valve Chamber),,,,"21.440222, 39.854222",,,
Site,PS5,MA_PS5_KAKFS,Kaakiah Filling Station,,,,"21.361194, 39.802083",,,
Site,PS5,MA_PS5_KOHBS,Koraich Booster (Booster Pump),,,,"21.420444, 39.832639",,,
Site,PS5,MA_PS5_MILHCHMB,Million Header Chamber (Valve Chamber),,,,"21.439972, 39.892250",,,
Site,PS5,MA_PS5_MILTNK,Milion Tank (Tank Farm),,,,"21.439972, 39.892250",,,
Site,PS5,MA_PS5_MINFCPS,Mina Fire & Cooling Ps(Ewon),,,,,,,
Site,PS5,MA_PS5_MLKTNK,Malakan Tank (Tank Farm),,,,"21.367500, 39.815528",,,
Site,PS5,MA_PS5_MOACHMB,Moassem Chamber New RTU,,,,,,,
Site,PS5,MA_PS5_MOAFS,Moassem Filling Station (Line 1400Mm),,,,,,,
Site,PS5,MA_PS5_MOATNK,Al- Meiassamtank (Tank Farm),,,,"21.384861, 39.878778",,,
Site,PS5,MA_PS5_MUNVCHMB,Muna Valve Chamber (Valve Chamber),,,,"21.399972, 39.900222",,,
Site,PS5,MA_PS5_RTU_11,Malagiyah Small,,,,"21.435139, 39.789417",,,
Site,PS5,MA_PS5_RTU_12,Al Nuzha,,,,"21.425250, 39.767944",,,
Site,PS5,MA_PS5_RTU_13,Al Sayyeda,,,,"21.420298, 39.768464",,,
Site,PS5,MA_PS5_RTU_14,Al Shuhada,,,,"21.431728, 39.781138",,,
Site,PS5,MA_PS5_RTU_15,Dahlat Quresh,,,,"21.4329252,39.7839598",,,
Site,PS5,MA_PS5_RTU_16,Kawashek Small,,,,"21.410222, 39.815778",,,
Site,PS5,MA_PS5_RTU_17,Al Andalus,,,,"21.455013, 39.826242",,https://goo.gl/maps/vmcrDViLFv8KcFQ78,
Site,PS5,MA_PS5_RTU_18,New Khandamah,,,,"21.3941148,39.8280966",,,
Site,PS5,MA_PS5_RTU_19,Rea Bakhsh,,,,"21.409528, 39.832333",,,
Site,PS5,MA_PS5_RTU_2,Sharika Makkah,,,,"21.435111, 39.847194",,,
Site,PS5,MA_PS5_RTU_22,Al Suleymania Pump,,,,"21.456054,39.765914",,,
Site,PS5,MA_PS5_RTU_23,Dahlatan Al Jin Pump,,,,"21.438659,39.768765",,,
Site,PS5,MA_PS5_RTU_26,Konkari Pump,,,,"21.3891628,39.7880242",,,
Site,PS5,MA_PS5_RTU_27,Talaat Al-Wazzan Pump,???? ???? ??????,,,"21.387250, 39.795111",,,
Site,PS5,MA_PS5_RTU_28,Kudai Pump,,,,"21.3949299,39.7903347",,,
Site,PS5,MA_PS5_RTU_29,Baladiya Pump,???? ???????,,,"21.399694, 39.814278",,https://goo.gl/maps/nMZvLxVSin7C2Zyx8,
Site,PS5,MA_PS5_RTU_30,Nakasa Pump,,,,"21.3903701,39.8051566",,,
Site,PS5,MA_PS5_RTU_31,Mansourieh Pump,???? ???? ???,,,"21.3839918,39.7985208",,,
Site,PS5,MA_PS5_RTU_32,Umul Adab Pump,???? ?? ?????,,,"21.3804621,39.7823203",,,
Site,PS5,MA_PS5_RTU_33,Harat Homs Pump,,,,"21.3821201,39.7731772",,,
Site,PS5,MA_PS5_RTU_34,Al Adwani Pump,???? ????????,,,"21.3806439,39.7721995",,,
Site,PS5,MA_PS5_RTU_35,Tandbawi Pump,,,,"21.376280, 39.763886",,,
Site,PS5,MA_PS5_RTU_36,Abu Shaddin Pump,,,,"21.3746384,39.7653309",,,
Site,PS5,MA_PS5_RTU_38,Khalidiya Pump,???? ????????,,,"21.402583, 39.793500",,https://goo.gl/maps/vKGqXcLwbVD1H7qL6,
Site,PS5,MA_PS5_RTU_39,Russeifa Pump 1,???? ??????? 1,,,"21.411528, 39.792667",,https://goo.gl/maps/LWWaBpN3Dj1B7YGf6,
Site,PS5,MA_PS5_RTU_40,Russeifa Pump 2,???? ??????? 2,,,"21.406750, 39.791167",,https://goo.gl/maps/vXBq2nY3H6V3VFGu8,
Site,PS5,MA_PS5_RTU_41,Pump Mount Raven,???? ??? ????,,,"21.423970, 39.797333",,https://goo.gl/maps/JcxFTQX82yoVdPQU6,
Site,PS5,MA_PS5_RTU_42,Pump Umm Al-Qura,???? ?? ?????,,,"21.423389, 39.801167",,https://goo.gl/maps/DGYtsfExUfhJHk7c6,
Site,PS5,MA_PS5_RTU_43,Mansour Bridge Pump,,,,"21.722889, 39.840333",,,
Site,PS5,MA_PS5_RTU_45,Hindawi Pump 2,,,,"21.434972, 39.812056",,,
Site,PS5,MA_PS5_RTU_46,Motan Pump,,,,"21.441222, 39.793389",,,
Site,PS5,MA_PS5_RTU_47,Al-Ghazawi Pump,,,,"21.436278, 39.799444",,,
Site,PS5,MA_PS5_RTU_48,Aldiyafa Pump,???? ???????,,,"21.440833, 39.806417",,https://goo.gl/maps/U6DHPrJbb2vfbfLz5,
Site,PS5,MA_PS5_RTU_49,Zahir Pump,???? ??????,,,"21.446528, 39.809167",,https://goo.gl/maps/fW4Em8h3feYd1VYJ6,
Site,PS5,MA_PS5_RTU_50,Malaqiya-Vertical Pump,,,,"21.3987375,39.8125783",,,
Site,PS5,MA_PS5_RTU_51,Hajj Street Pump - Vertical Pump,???? ???? ????– ???? ?????,,,"21.448278, 39.809222",,https://goo.gl/maps/hC1QUqmezq7jkd727,
Site,PS5,MA_PS5_RTU_52,Al Radwan Pump - Vertical Pump,???? ??????? – ???? ?????,,,"21.456500, 39.817222",,https://goo.gl/maps/jUPs7VYZwWJv87kF6,
Site,PS5,MA_PS5_RTU_53,Al Asala Pump 1,,,,"21.419639, 39.858667",,,
Site,PS5,MA_PS5_RTU_54,Center-1,,,,"21.416139, 39.867889",,,
Site,PS5,MA_PS5_RTU_55,Um Turki Pump,,,,"21.401750, 39.868611",,,
Site,PS5,MA_PS5_RTU_56,Bankala Pump,,,,"21.385167, 39.874028",,,
Site,PS5,MA_PS5_RTU_57,Ameera Pump,,,,"21.4348522,39.8213215",,,
Site,PS5,MA_PS5_RTU_58,Maalik Pump 1,,,,"21.4347209,39.8241102",,,
Site,PS5,MA_PS5_RTU_59,Maalik Pump 2,,,,"21.4411,39.8179",,,
Site,PS5,MA_PS5_RTU_60,Wadi ]Jalil Pump,,,,"21.4416739 ,39.8166125",,,
Site,PS5,MA_PS5_RTU_61,Safarat Pump,,,,"21.443,39.8199",,,
Site,PS5,MA_PS5_RTU_62,Alsufiani Pump 1,???? ???????? 1,,,"21.476194, 39.843083",,https://goo.gl/maps/EVNvEKo4YMFoLYYg6,
Site,PS5,MA_PS5_RTU_63,Al Sufyani Pump 2,,,,"21.4386815,39.8119933",,,
Site,PS5,MA_PS5_RTU_65,Alkhusna Pump,???? ???????,,,"21.446222, 39.846611",,https://goo.gl/maps/xg8U4Lc2sUiw3wqZA,
Site,PS5,MA_PS5_RTU_66,Rea Al Miskeen Pump,,,,"21.4487736,39.8233038",,,
Site,PS5,MA_PS5_RTU_67,Al-Nour Street Pump,,,,"21.4502667,39.8249423",,,
Site,PS5,MA_PS5_RTU_68,Zahareen Pump,,,,"21.4491559,39.8282249",,,
Site,PS5,MA_PS5_RTU_69,Al Matarafa Pump,,,,"21.4507618,39.8291055",,,
Site,PS5,MA_PS5_RTU_72,Wady Basham Pump,,,,"21.4149288,39.8042621",,,
Site,PS5,MA_PS5_RTU_73,Hart Sayif Pump,,,,"21.4164188,39.8015406",,,
Site,PS5,MA_PS5_RTU_75,Bin Omar Pump,,,,"21.415123,39.8116524",,,
Site,PS5,MA_PS5_RTU_76,Al Ashraf Pump,,,,"21.4178194,39.8132672",,,
