Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Operating System,VM Host,Connected SCADA Server,Asset Contact Person,Comments
Cabinet,HQ_MB_DC_RK3,HQ_OTDOMPHY1,HQOTDOMPHY1,OT Domain Zone Physical Host,VM Host,HP,HPE DL380 Gen10,,CZ210205ZJ,Z_HQ_OT_Domain,Windows Server 2016 DC,,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADM01,HQOTADM01,OT Primary Domain Controller,Domain Controller,VM,,,,Z_HQ_OT_Domain,Windows Server 2016 Std,HQ_OTDOMPHY01,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADM02,HQOTADM02,OT Remote Gateway,Remote Gateway,VM,,,,Z_HQ_OT_Domain,Windows Server 2016 Std,HQ_OTDOMPHY01,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTDMZPHY1,HQOTDMZPHY1,OT DMZ Physical Host,VM Host,HP,HPE DL380 Gen10,,CZ210205YZ,Z_HQ_OT_DMZ,Windows Server 2016 DC,,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADM11,HQOTADM11,OT DMZ AV-WSUS Server,AV & WSUS Server,VM,HPE DL380 Gen10,,,Z_HQ_OT_DMZ,Windows Server 2016 Std,HQ_OTDMZPHY01,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTDMZPHY02,HQOTDMZPHY02,OT DMZ Physical Host 2,VM Host,,,,,Z_HQ_OT_DMZ,Windows Server 2016 DC,,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADMHIS01,HQOTADMHIS01,OT Historian Main Server,Main Historian,VM,,,,Z_HQ_OT_DMZ,Windows Server 2016 Std,HQ_OTDMZPHY02,,,
Cabinet,HQ_MB_DC_RK3,HQ_APROSCDGRP001,APROSCDGRP001,HQ OT GR Server,Testing Enviroment,VM,,,,Z_HQ_OT_DMZ,Windows Server 2016 Std,HQ_OTDMZPHY02,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADM12,HQOTADM12,OT DMZ Backup-SFTP Server,Backup & SFTP Server,VM,,,,Z_HQ_OT_DMZ,Windows Server 2016 Std,HQ_OTDMZPHY01,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTMGMPHY01,HQOTMGMPHY01,OT MGMT Zone Physical Host,VM Host,HP,HPE DL380 Gen10,,CZ210205ZL,Z_HQ_OT_MGMTSVR,Windows Server 2016 DC,,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADM21,HQOTADM21,OT Panorama,OT Panorama,VM,,,,Z_HQ_OT_MGMTSVR,Windows Server 2016 Std,HQ_OTMGMPHY01,,,
Cabinet,HQ_MB_DC_RK3,HQ_OTADM22,HQOTADM22,OT CMC,OT CMC,VM,,,,Z_HQ_OT_MGMTSVR,Windows Server 2016 Std,HQ_OTMGMPHY01,,,
Cabinet,HQ_MB_DC_RK3,HQOTWKS01,HQOTWKS01,Scada Client system 1,Client WS,,,,,Z_SCADA,,,,,
Cabinet,HQ_MB_DC_RK3,HQOTWKST02,HQOTWKST02,Scada Client system 2,Client WS,,,,,Z_SCADA,,,,,
Cabinet,JD_AK-4_ABB_ABS,JD_AK-4_ABB_AB-HMI,Aeration Blower HMI,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_AMB_EMPP,JD_AK-4_AMB_AM-HMI1,Aeration Mixer HMI-1,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_AMB_RWAPP,JD_AK-4_AMB_AM-HMI2,Aeration Mixer HMI-2,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_AMB_RWBPP,JD_AK-4_AMB_AM-HMI3,Aeration Mixer HMI-3,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_FEB_FEC,JD_AK-4_FEB_FE-HMI,Final Effluent HMI,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_IB_IW,JD_AK-4_IB_IW-HMI,Inet Works HMI,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_MSB_MSG,JD_AK-4_MSB_MSG-HMI,Main Switchgear HMI,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_SDB_SD,JD_AK-4_SDB_SD-HMI,Sludge Dewatering HMI,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,JD_AK-4_SFB_TF1,JD_AK-4_SFB_SF-HMI,Sand Filter HMI,,HMI,ADVANTECH,IPPC-6152A,IPPC-6152A-R0AE,,,Windows10,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDHIS001,MPROSCDHIS001,Awali Old Historian,Historian,HP,HPE DL380 Gen9,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MTPROSCDINT01,MTPROSCDINT01,Awali Old GR,GR,VM,,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,MPROSCDHIS001,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MTPROSCDINT03,MTPROSCDINT03,Awali Backup Old GR,Backup GR,VM,,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,MPROSCDHIS001,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDPHYAWA01,MPROSCDPHYAWA01,Awali Scada Physical Server 1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDGRPAWA01,MPROSCDGRPAWA01,Awali New GR,GR,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYAWA01,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDDASAWAP1,MPROSCDDASAWAP1,Awali New AOS/DAS,AOS/DAS,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYAWA01,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDPHYAWA02,MPROSCDPHYAWA02,Awali Scada Physical Server 2,VM Host,HP,HPE DL380 Gen10,,,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDHISTAWA1,MPROSCDHISTAWA1,Awali New Historian,Historian,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYAWA02,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDPHYPS901,MPROSCDPHYPS901,PS9 Scada Physical Server,VM Host,HP,HPE DL380 Gen10,,,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MPROSCDHISTPS91,MPROSCDHISTPS91,PS9 New Historian,Historian,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYPS901,,,
Cabinet,MA_AWA_AMB_DC_SR,MA_AWA_MTPROHYVHVS011,MTPROHYVHVS011,Awali Scada Physical Server 3,VM Host,HP,HPE DL380 Gen9,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,,,,
Cabinet,MA_MIN_MCB_TRC_OC,MA_MIN_MCPSCADA-MN02,MCPSCADA-MN02,Mina Scada EWS,Scada EWS,Dell,,,,Z_MA_MIN_SCADA,Windows 10,,,,
Cabinet,MA_MIN_MCB_TRC_OC,MA_MIN_MCPSCADA-MN01,MCPSCADA-MN01,Mina Scada EWS,Scada EWS,Dell,,,,Z_MA_MIN_SCADA,Windows 10,,,,
