Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Operating System,VM Host,Connected SCADA Server,Asset Contact Person,Comments
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MS_AOS_DAS_01,MS_AOS_DAS_01,Mina Old AOS/DAS,AOS/DAS,Dell,320,,,Z_MA_MIN_SCADA,Windows Server 2012 R2,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_?Powered_off_1,?Powered_off_1,?Mina Not Connected,Not Connected,Dell,320,,,Z_MA_MIN_SCADA,Not Connected,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_?Powered_off_2,?Powered_off_2,?Mina Not Connected,Not Connected,Dell,320,,,Z_MA_MIN_SCADA,Not Connected,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_?Powered_off_3,?Powered_off_3,?Mina Not Connected,Not Connected,Dell,320,,,Z_MA_MIN_SCADA,Not Connected,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MS_AOS_DAS_02,MS_AOS_DAS_02,Mina Old AOS/DAS,AOS/DAS,Dell,220,,,Z_MA_MIN_SCADA,Windows Server 2012 R2,MPROPHYVHVS001,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MS_INSQL_01,MS_INSQL_01,Mina Old Historian Server,Historian,VM,,,,Z_MA_MIN_SCADA,Windows Server 2012 R2,MPROPHYVHVS001,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MPROSCDHIST01,MPROSCDHIST01,Mina New Historian,Historian,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROSCDSRV001,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MPROSCDDASP01,MPROSCDDASP01,Mina New AOS/DAS 1,AOS/DAS,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROSCDSRV001,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MPROSCDDASP02,MPROSCDDASP02,Mina New AOS/DAS 2,AOS/DAS,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROPHYVHVS001,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MPROSCDGRP01,MPROSCDGRP01,Mina GR,GR,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROSCDSRV001,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MPROHYVHVS001,MPROHYVHVS001,Mina Scada Physical Server 1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_MIN_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA_MIN_MPROSCDSRV001,MPROSCDSRV001,Mina Scada Physical Server 2,VM Host,HP,HPE DL380 Gen10,,,Z_MA_MIN_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_MIN_OCC_CR_OC,MA_MIN_MS_WS_01,MS_WS_01,Mina Scada OWS,Scada OWS,Dell,,,,Z_MA_MIN_SCADA,Windows 7,,,,
Cabinet,MA_MIN_OCC_CR_OC,MA_MIN_MS_WS_02,MS_WS_02,Mina Scada OWS,Scada OWS,Dell,,,,Z_MA_MIN_SCADA,Windows 7,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA_MOA_MPROSCDPHYMOA01,MPROSCDPHYMOA01,Mapa New Server Physical,VM Host,HP,HPE DL380 Gen10,,,Z_MA_MOA_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA_MOA_MCPPS5C5919-1,MCPPS5C5919-1,Mapa Scada OWS,Scada OWS,HP,Proliant DL120 Gen9,,,Z_MA_MOA_SCADA,Windows 8,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA_MOA_MCPPS5C5919-2,MCPPS5C5919-2,Mapa Old AOS/DAS/Historian,AOS/DAS/Historian,HP,Proliant DL120 Gen9,,,Z_MA_MOA_SCADA,Windows Server 2012 R2,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA_MOA_MPROSCDDASMOA01,MPROSCDDASMOA01,Mapa AOS/DAS 1,AOS/DAS,VM,,,,Z_MA_MOA_SCADA,Windows Server 2016 Std,MPROSCDPHYMOA01,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA_MOA_MPROSCDHISTMOA1,MPROSCDHISTMOA1,Mapa Historian,Historian,VM,,,,Z_MA_MOA_SCADA,Windows Server 2016 Std,MPROSCDPHYMOA01,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_MTCBU_HMI_001,MTCBU_HMI_001,PS5 Scada OWS 1,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_MTCBU_HMI_002,MTCBU_HMI_002,PS5 Scada OWS 2,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_MTCBU_HMI_003,MTCBU_HMI_003,PS5 Scada OWS 3,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_MTCBU_ENG1,MTCBU_ENG1,PS5 Scada EWS,Scada EWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MCBU_AOS_DAS1,MCBU_AOS_DAS1,PS5 Old AOS/DAS Server,AOS/DAS,Dell,220,,,Z_MA_PS5_SCADA,Windows Server 2008,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MCBU_INSQL_1,MCBU_INSQL_1,PS5 Old Server Historian,Historian,Dell,320,,,Z_MA_PS5_SCADA,Windows Server 2008,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MTCBU_AOS_DAS_02,MTCBU_AOS_DAS_02,PS5 Old AOS/DAS Server,AOS/DAS,HP,Proliant DL120 Gen9,,,Z_MA_PS5_SCADA,Windows Server 2008,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MPROSCDDASPS501,MPROSCDDASPS501,PS5 New AOS/DAS 1,AOS/DAS,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS501,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MPROSCDHISTPS51,MPROSCDHISTPS51,PS5 Historian,Historian,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS501,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MPROSCDDASPS502,MPROSCDDASPS502,PS5 New AOS/DAS 2,AOS/DAS,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS502,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MPROSCDDASPS503,MPROSCDDASPS503,PS5 New AOS/DAS 3,AOS/DAS,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS502,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_MCPSCADA-PS501,MCPSCADA-PS501,PS5 New Scada OWS,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 10,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MPROSCDPHYPS501,MPROSCDPHYPS501,PS5 Scada Physical Server 1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_PS5_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5_MPROSCDPHYPS502,MPROSCDPHYPS502,PS5 Scada Physical Server 2,VM Host,HP,HPE DL380 Gen10,,,Z_MA_PS5_SCADA,Windows Server 2016 DC,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_Barco_Server1,Barco_Server1,Nwc Wall Screens 1,,,,,,Z_MA_PS5_SCADA,Windows XP,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_Barco_Server2,Barco_Server2,Nwc Wall Screens 2,,,,,,Z_MA_PS5_SCADA,Windows XP,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_Barco_Server3,Barco_Server3,Nwc Wall Screens 3,,,,,,Z_MA_PS5_SCADA,Windows XP,,,,
Cabinet,MA_PS5_OCC_CR_OC,MA_PS5_MAPS5HMI002,MAPS5HMI002,PS5 Scada OWS 4,Scada OWS,HP,,,,Z_MA_PS5_SCADA,Windows 10,,,,
Cabinet,JD_BM-PH2_SC,JPROBMPH2OWS01,JPROBMPH2OWS01,Wonderware SCADA Workstation,Workstation,Dell,Power Edge,R220,,,,,,,
Cabinet,JD_BM-PH2_SC,ENGINEER,ENGINEER,Wonderware SCADA Server,Server,Dell,Power Edge,R320,,,,,,,
Cabinet,JD_FAS_IT_SC,JPROSCDPHY001,JPROSCDPHY001,Host Server 1,Physical Host,,,,,,,,,,
Cabinet,JD_FAS_IT_SC,JPROSCDPHY002,JPROSCDPHY002,Host Server 2,Physical Host,,,,,,,,,,
Cabinet,JD_FAS_IT_SC,JPROSCDPHY003,JPROSCDPHY003,Host Server 3,Physical Host,,,,,,,,,,
Cabinet,JD_FAS_IT_SC,JPROSCDGR0001,JPROSCDGR0001,Galaxy Repository Server,GR VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY001,,,
Cabinet,JD_FAS_IT_SC,JPROSCDHIS001,JPROSCDHIS001,Historian Server,Historian VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY002,,,
Cabinet,JD_FAS_IT_SC,APROSCDPCWINA2,APROSCDPCWINA2,Database Software,PCWin2 VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY003,,,
Cabinet,JD_FAS_IT_SC,JPROSCDAOS001,JPROSCDAOS001,Automation Object Server 01,AOS VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY001,,,
Cabinet,JD_FAS_IT_SC,JPROSCDDAS001,JPROSCDDAS001,Data Access Server 01,DAS VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY002,,,
Cabinet,JD_FAS_IT_SC,JPROSCDAOS002,JPROSCDAOS002,Automation Object Server 02,AOS VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY003,,,
Cabinet,JD_FAS_IT_SC,JPROSCDDAS002,JPROSCDDAS002,Data Access Server 02,DAS VM,,,,,,,JD_FAS_IT_SC_JPROSCDPHY003,,,
Cabinet,JD_FAS_IT_SC,JTPSRV1,Topkapi_Server_01,Topkapi Server,Server ,HP,,,,,,,,,
Cabinet,JD_FAS_IT_SC,JTPSRV2,Topkapi Server 02,Topkapi Server,Server ,HP,,,,,,,,,
Cabinet,JD_FAS_IT_SC,JDOTFASPHY01,JDOTFASPHY01,MGMT Host,Physcial Host,,,,,,,,,,
Cabinet,JD_FAS_IT_SC,JDOTFASADM01,JDOTFASADM01,Additional Domain Controller,ADC VM,,,,,,,JD_FAS_IT_SC_JDOTFASPHY01,,,
Cabinet,JD_FAS_IT_SC,JDOTFASADM02,JDOTFASADM02,Management Server,MGMT VM,,,,,,,JD_FAS_IT_SC_JDOTFASPHY01,,,
Cabinet,TF_MAT_DC_SRACK1,TFOTMATPHY01,TFOTMATPHY01,MGMT Host,Physical Host,,,,,,,,,,
Cabinet,TF_MAT_DC_SRACK1,TFOTMATADM01,TFOTMATADM01,Additional Domain Controller,ADC VM,,,,,,,TFOTMATPHY01,,,
Cabinet,TF_MAT_DC_SRACK1,TFOTMATADM02,TFOTMATADM02,Management Server,MGMT VM,,,,,,,TFOTMATPHY01,,,
Cabinet,TF_MAT_DC_SRACK1,TCBU_MAT_AOS2_DAS2,TCBU_MAT_AOS2_DAS2,Automation Object Server 02/ Data Access Server 02,DAS/AOS Server,,,,,,,,,,
Cabinet,TF_MAT_DC_SRACK1,TCBU_MAT_GR,TCBU_MAT_GR,Galaxy Repository Server,GR Server,,,,,,,,,,
Cabinet,TF_MAT_DC_SRACK1,TCBU_MAT_AOS1_DAS1,TCBU_MAT_AOS1_DAS1,Automation Object Server 01/ Data Access Server 01,DAS/AOS Server,,,,,,,,,,
Cabinet,TF_MAT_DC_SRACK1,TCBU_MAT_HISTORIAN,TCBU_MAT_HISTORIAN,Historian Server,Historian Server,,,,,,,,,,
Cabinet,TF_MAT_DC_SRACK1,TPROSCDPHYMAT02,TPROSCDPHYMAT02,Host Server 2,Physical Host,,,,,,,,,,
Cabinet,TF_MAT_DC_SRACK1,TPROSCDPHYMAT01,TPROSCDPHYMAT01,Host Server 1,Physical Host,,,,,,,,,,
Room,HQ_MB_DC,HQ_OTNEWGR,HQ_OTNEWGR,New GR,New OT GR,,,,,Z_SCADA,,,,,
Room,HQ_MB_DC,HQ_Main_DC_SCADA,SCADA Workstation,SCADA Monitoring Server,SCADA Monitoring Server,2019,ProLiant DL380 G7,,CZ211003V4,OT,,,,,
Room,JD_BM-PH1_ADB_CR,JPROBMPH1SVR01,JPROBMPH1SVR01,Citech Server 01,Server,,,,,,,,,,
Room,JD_BM-PH1_ADB_CR,LPROBMPH1OWS01,LPROBMPH1OWS01,Citech Operator Workstation 01,Workstation,,,,,,,,,,
Room,JD_BM-PH1_ADB_CR,LPROBMPH1OWS02,LPROBMPH1OWS02,Citech Operator Workstation 02,Workstation,,,,,,,,,,
Room,JD_PSB_PSB_SO,JPROSCDEWS001,JPROSCDEWS001,Engineering workstation-1,Engineering workstation,,,,,,,,,,
Room,JD_PSB_PSB_SO,JPROSCDEWS002,JPROSCDEWS002,Engineering workstation-2,Engineering workstation,,,,,,,,,,
Room,JD_PSB_PSB_CR,JPROMASCDOWS01,JPROMASCDOWS01,Wonderware Client system Makkah,Client Workstation,,,,,,,,,,
Room,JD_PSB_PSB_CR,JPROTFSCDOWS01,JPROTFSCDOWS01,Wonderware Client system Taif,Client Workstation,,,,,,,,,,
Room,JD_PSB_PSB_CR,JPROJDSCDOWS01,JPROJDSCDOWS01,Wonderware Client system Jeddah,Client Workstation,,,,,,,,,,
Room,JD_PSB_PSB_OCC,JDPSBOCCSCD01,JDPSBOCCSCD01,Wonderware Client 1,Client Workstation,,,,,,,,,,
Room,JD_PSB_PSB_OCC,JDPSBOCCSCD02,JDPSBOCCSCD02,Wonderware Client 2,Client Workstation,,,,,,,,,,
Room,JD_PSB_PSB_OCC,JDPSBOCCVWS01,JDPSBOCCVWS01,Video Server 01,Video Server,,,,,,,,,,
Room,MA_ARA_MCB_MCR,MA_ARA_Server_1,Server_1,Arana Primary Scada Server,Primary Scada Server,Siemens,Simatic Rack PC,,,,Windows 10 Pro,,,,
Room,MA_ARA_MCB_MCR,MA_ARA_Server_2,Server_2,Arana Secondary Scada Server,Secondary Scada Server,Siemens,Simatic Rack PC,,,,Windows 10 Pro,,,,
Room,MA_ARA_MCB_MCR,MA_ARA_?Server_2_old,?Server_2_old,Arana Old Scada Server,Scada Server,Siemens,Simatic Rack PC,,,,Not Connected,,,,
Room,MA_ARA_MCB_MR,MA_ARA_Client_1,Client_1,Arana Scada OWS 1,Scada OWS,Siemens,Simatic Rack PC,,,,Windows 10 Pro,,,,
Room,MA_ARA_MCB_MR,MA_ARA_Client_2,Client_2,Arana Scada OWS 2,Scada OWS,Siemens,Simatic Rack PC,,,,Windows 10 Pro,,,,
Room,MA_AWA_AMB_DC,MA_AWA_MAOTAWAPHY01,MAOTAWAPHY01,Awali OT Physical Host,VM Host,HP,HPE DL380 Gen10,,CZ210205ZM,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Room,MA_AWA_AMB_DC,MA_AWA_MAOTAWADM01,MAOTAWADM01,Awali OT Domain Controller,OT Domain Controller,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 STD,MA_AWA_MAOTAWAPHY01,,,
Room,MA_AWA_AMB_DC,MA_AWA_MAOTAWADM02,MAOTAWADM02,Awali OT Management Server,OT Management Server,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 STD,MA_AWA_MAOTAWAPHY01,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_Makkah-1,Makkah-1,Hada Primary Scada Server,Primary Scada Server,Dell,Power Edge 1900,,,,Windows Server 2003 R2,,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_Makkah-2,Makkah-2,Hada Secondary Scada Server,Secondary Scada Server,Dell,Power Edge 1900,,,,Windows Server 2003 R2,,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_?Printer-1,?Printer-1,Hada Printer,Printer,HP,NPI8662DD,,,,NA,,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_Makkah-3,Makkah-3,Hada Scada OWS 1,Scada OWS,Dell,,,,,Windows XP,,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_Makkah-4,Makkah-4,Hada Scada OWS 2,Scada OWS,Dell,,,,,Windows XP,,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_Makkah-5,Makkah-5,Hada Scada OWS 3,Scada OWS,Dell,PLC Panel PC,,,,Windows XP,,,,
Room,MA_HAD_ADB_SCDR,MA_HAD_Makkah-6,Makkah-6,Hada Scada OWS 4,Scada OWS,Dell,OptiPlex 7010,,,,Windows XP,,,,
Room,MA_SHU_MCB_SCDR-CR,MA_SHU_MPROSCDSHU01,MPROSCDSHU01,SHU Scada Physical Server1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_SHU_SCADA,Windows Server 2016 DC,,,,
Room,MA_SHU_MCB_SCDR-CR,MA_SHU_MPROSCDDASSHU1,MPROSCDDASSHU1,DAS 1 / AOS,AOS/DAS,VM,,,,Z_MA_SHU_SCADA,Windows Server 2016 STD,MPROSCDSHU01,,,
Room,MA_SHU_MCB_SCDR-CR,MA_SHU_MPROSCDDASSHUS2,MPROSCDDASSHUS2,DAS 2 / AOS,AOS/DAS,VM,,,,Z_MA_SHU_SCADA,Windows Server 2016 STD,MPROSCDSHU01,,,
Room,MA_SHU_MCB_SCDR-CR,MA_SHU_MPROSCDHISTSHU1,MPROSCDHISTSHU1,Historian,Historian,VM,,,,Z_MA_SHU_SCADA,Windows Server 2016 STD,MPROSCDSHU01,,,
Room,MA_SHU_MCB_SCDR-CR,MA_SHU_NWC-LOT1-WS1,NWC-LOT1-WS1,Shuhada Scada OWS 1,Scada OWS,HP,EliteDesk 800G5SFF,,,Z_MA_SHU_SCADA,Windows 10,,,,
Room,MA_SHU_MCB_SCDR-CR,MA_SHU_LOT1-GR,LOT1-GR,Shuhada GR,GR,HP,EliteDesk 800G5SFF,,,Z_MA_SHU_SCADA,Windows 10,,,,
Room,RD_BWB-WTP_BWB1_ELS_SCR,RD_BWB-WTP_BWB1_ELS_SCR_SCADA,SCADA Workstation,SCADA Workstation,Workstation,Dell,Optiplex 5050 Mini Tower,N008O5050MT02,,OT,,,,,
Room,JD_AK-3_MCRS,AKEOWS01,AKEOWS01,Operator Workstation 1,Operator Workstation 1,Dell,Power Edge,T40,,,,,,,
Room,JD_AK-3_MCRS,AK3OWS02,AK3OWS02,Operator Workstation 2,Operator Workstation 1,Dell,Power Edge,T40,,,,,,,
Room,JD_AK-3_MCRS,AK3SERVER01,AK3SERVER01,SCADA Server-1,SCADA Server-1,,,,,,,,,,
Room,JD_AK-3_MCRS,AK3SERVER02,AK3SERVER02,SCADA Server-2,SCADA Server-1,,,,,,,,,,
Room,JD_AK-4_MCRS,JD_AK-4_MCRS_SCADA-SRV,SCADA Server,,Workstation,Dell,Retrieving data. Wait a few seconds and try to cut or copy again.,T40,,,Windows10,,,,
Room,JD_AK-6_MCRS,JD_AK-6_MCRS_OWS-1,Operator Workstation 1,,Workstation,DEll,,,,,,,,,
Room,JD_AK-6_MCRS,JD_AK-6_MCRS_LJP,Laser Jet Printer,,Printer,HP,,,,,,,,,
