Title,Document Number,Version,Date,Description,Category,Sub Category,File
JCBU BM-PH2 VMD JD-BM-PH2-OT-VMD-01 L1 Devices,JCBU_BM-PH2_VMD_JD-BM-PH2-OT-VMD-01_L1 Devices,0,28-Feb-22,,Evidence,,JCBU_BM-PH2_VMD_JD-BM-PH2-OT-VMD-01_L1 Devices.PNG
JCBU BM-PH2 VMD JD-BM-PH2-OT-VMD-01 Licenses,JCBU_BM-PH2_VMD_JD-BM-PH2-OT-VMD-01_Licenses,0,28-Feb-22,,Evidence,,JCBU_BM-PH2_VMD_JD-BM-PH2-OT-VMD-01_Licenses.PNG
JCBU BM-PH2 VMD JD-BM-PH2-OT-VMD-01 Network devices,JCBU_BM-PH2_VMD_JD-BM-PH2-OT-VMD-01_Network devices,0,28-Feb-22,,Evidence,,JCBU_BM-PH2_VMD_JD-BM-PH2-OT-VMD-01_Network devices.PNG
JCBU BM-PH2 WSUS JDOTFASADM02,JCBU_BM-PH2_WSUS_JDOTFASADM02,0,28-Feb-22,,Evidence,,JCBU_BM-PH2_WSUS_JDOTFASADM02.PNG
JCBU FAS AD JDOTFASADM01 DNS,JCBU_FAS_AD_JDOTFASADM01_DNS,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM01_DNS.PNG
JCBU FAS AD JDOTFASADM01 DNS 1,JCBU_FAS_AD_JDOTFASADM01_DNS_1,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM01_DNS_1.PNG
JCBU FAS AD JDOTFASADM01 GPOs Applied,JCBU_FAS_AD_JDOTFASADM01_GPOs_Applied,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM01_GPOs_Applied.PNG
JCBU FAS AD JDOTFASADM01 SCADA Servers Joined,JCBU_FAS_AD_JDOTFASADM01_SCADA_Servers_Joined,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM01_SCADA_Servers_Joined.PNG
JCBU FAS AD JDOTFASADM01 SCADA Servers Joined 1,JCBU_FAS_AD_JDOTFASADM01_SCADA_Servers_Joined_1,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM01_SCADA_Servers_Joined_1.PNG
JCBU FAS AD JDOTFASADM02 GPOs Applied,JCBU_FAS_AD_JDOTFASADM02_GPOs_Applied,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM02_GPOs_Applied.PNG
JCBU FAS AD JDOTFASADM02 WSUS,JCBU_FAS_AD_JDOTFASADM02_WSUS,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADM02_WSUS.PNG
JCBU FAS AD JDOTFASADMO2 GPOs Applied,JCBU_FAS_AD_JDOTFASADMO2_GPOs_Applied,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADMO2_GPOs_Applied.PNG
JCBU FAS AD JDOTFASADMO2 Joined,JCBU_FAS_AD_JDOTFASADMO2_Joined,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JDOTFASADMO2_Joined.PNG
JCBU FAS AD JPROSCDGR0001 Joined,JCBU_FAS_AD_JPROSCDGR0001_Joined,0,28-Feb-22,,Evidence,,JCBU_FAS_AD_JPROSCDGR0001_Joined.PNG
JCBU FAS EPP McAfee Agent,JCBU_FAS_EPP_McAfee_Agent,0,28-Feb-22,,Evidence,,JCBU_FAS_EPP_McAfee_Agent.PNG
