Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Connected SCADA Server,Asset Contact Person,Asset Parent ID,Comments
SubSite,MA_PS5_C3-34,MA_PS5_C3_334_DL,C3_334_DL,Sayef Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133058,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-35,MA_PS5_C3_335_DL,C3_335_DL,Nadwah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134494,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-36,MA_PS5_C3_336_DL,C3_336_DL,Nadwah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134459,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-37,MA_PS5_C3_337_DL,C3_337_DL,An Naba'Aa Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132063,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-38,MA_PS5_C3_338_DL,C3_338_DL,An Naba'Aa Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132969,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-39,MA_PS5_C3_339_DL,C3_339_DL,An Naba'Aa Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132027,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-40,MA_PS5_C3_340_DL,C3_340_DL,An Naba'Aa Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133056,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-41,MA_PS5_C3_341_DL,C3_341_DL,Buhairat Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133078,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-42,MA_PS5_C3_342_DL,C3_342_DL,Buhairat Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132070,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-43,MA_PS5_C3_343_DL,C3_343_DL,Buhairat Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132047,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
